REF_AREA;Reference area (TR);FREQ;Frequency of observation (A);INDICATOR;Statistical indicator (NG_ADNKS);IKAMET_YERI;Place of residence (_T);ADNKS_GOSTERGE;ADNKS Indicator (NUFUS);Time period (TIME_PERIOD);Observation;OBS_STATUS;Observation status;TIME_FORMAT;Time format;DECIMAL;Decimals;UNIT_MEASURE;Unit of measure;UNIT_MULT;Unit multiplier
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR222;Çanakkale;NUFUS;Population;2023;570499;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR222;Çanakkale;NUFUS;Population;2024;568966;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR222;Çanakkale;NUFUS;Population;2025;573976;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR310;İzmir;NUFUS;Population;2007;3739353;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR310;İzmir;NUFUS;Population;2008;3795978;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR310;İzmir;NUFUS;Population;2009;3868308;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR310;İzmir;NUFUS;Population;2010;3948848;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR310;İzmir;NUFUS;Population;2011;3965232;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR310;İzmir;NUFUS;Population;2012;4005459;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR310;İzmir;NUFUS;Population;2013;4061074;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR310;İzmir;NUFUS;Population;2014;4113072;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR310;İzmir;NUFUS;Population;2015;4168415;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR310;İzmir;NUFUS;Population;2016;4223545;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR310;İzmir;NUFUS;Population;2017;4279677;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR310;İzmir;NUFUS;Population;2018;4320519;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR310;İzmir;NUFUS;Population;2019;4367251;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR310;İzmir;NUFUS;Population;2020;4394694;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR310;İzmir;NUFUS;Population;2021;4425789;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR310;İzmir;NUFUS;Population;2022;4462056;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR310;İzmir;NUFUS;Population;2023;4479525;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR310;İzmir;NUFUS;Population;2024;4493242;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR310;İzmir;NUFUS;Population;2025;4504185;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR321;Aydın;NUFUS;Population;2007;946971;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR321;Aydın;NUFUS;Population;2008;965500;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR321;Aydın;NUFUS;Population;2009;979155;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR321;Aydın;NUFUS;Population;2010;989862;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR321;Aydın;NUFUS;Population;2011;999163;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR321;Aydın;NUFUS;Population;2012;1006541;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR321;Aydın;NUFUS;Population;2013;1020957;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR321;Aydın;NUFUS;Population;2014;1041979;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR321;Aydın;NUFUS;Population;2015;1053506;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR321;Aydın;NUFUS;Population;2016;1068260;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR321;Aydın;NUFUS;Population;2017;1080839;;;;;;;;;;
